scan_date,scan_time,symbol,price_at_scan,scanner_score,float_score,momentum_score,volume_score,catalyst_score,multiday_score,vigl_bonus,vigl_match,rvol,float_shares,change_pct,volume,catalyst_text,entered,entry_date,entry_price,entry_thesis,exit_date,exit_price,hold_days,return_pct,return_dollars,outcome,notes
2026-02-10,16:46:45,BKD,16.29,0,0,0,0,0,0,0,none,1.0,0,0,3219646.0,,No,,,,,,,,,,
2026-02-10,16:46:45,OI,16.39,0,0,0,0,0,0,0,none,1.0,0,0,2850557.0,,No,,,,,,,,,,
2026-02-10,16:46:45,EWJ,93.1,0,0,0,0,0,0,0,none,1.0,0,0,21597055.0,,No,,,,,,,,,,
2026-02-10,16:46:45,WULF,16.63,0,0,0,0,0,0,0,none,1.0,0,0,58588905.0,,No,,,,,,,,,,
2026-02-10,16:46:45,DHT,15.06,0,0,0,0,0,0,0,none,1.0,0,0,3472219.0,,No,,,,,,,,,,
2026-02-10,16:46:45,XRAY,13.93,0,0,0,0,0,0,0,none,1.0,0,0,4553357.0,,No,,,,,,,,,,
2026-02-10,16:46:45,VALE,16.74,0,0,0,0,0,0,0,none,1.0,0,0,23480508.0,,No,,,,,,,,,,
2026-02-10,16:46:45,VELO,13.44,0,0,0,0,0,0,0,none,1.0,0,0,5092050.0,,No,,,,,,,,,,
2026-02-10,16:46:45,HE,16.7,0,0,0,0,0,0,0,none,1.0,0,0,3181433.0,,No,,,,,,,,,,
2026-02-10,16:46:45,NU,17.57,0,0,0,0,0,0,0,none,1.0,0,0,49280392.0,,No,,,,,,,,,,
2026-02-10,16:46:45,QYLD,17.74,0,0,0,0,0,0,0,none,1.0,0,0,7929222.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CALY,14.65,0,0,0,0,0,0,0,none,1.0,0,0,3517771.0,,No,,,,,,,,,,
2026-02-10,16:46:45,VOD,15.23,0,0,0,0,0,0,0,none,1.0,0,0,5152022.0,,No,,,,,,,,,,
2026-02-10,16:46:45,AES,16.25,0,0,0,0,0,0,0,none,1.0,0,0,8666054.0,,No,,,,,,,,,,
2026-02-10,16:46:45,DXC,14.59,0,0,0,0,0,0,0,none,1.0,0,0,3272103.0,,No,,,,,,,,,,
2026-02-10,16:46:45,XOVR,18.05,0,0,0,0,0,0,0,none,1.0,0,0,2748547.0,,No,,,,,,,,,,
2026-02-10,16:46:45,ARR,17.6,0,0,0,0,0,0,0,none,1.0,0,0,2776886.0,,No,,,,,,,,,,
